,location,total_sqft,bath,price,bhk,encoded_loc
1185,Vittasandra,1246.0,2.0,65.0,2,204
1186,Dodda Nekkundi,850.0,2.0,28.0,2,59
1187,Raja Rajeshwari Nagar,1196.0,2.0,51.51,2,169
1188,others,950.0,2.0,45.0,2,211
1189,others,1022.0,2.0,52.0,2,211
1190,Bharathi Nagar,1322.0,2.0,68.0,2,38
1191,Doddakallasandra,1460.0,2.0,58.39,3,61
1192,others,990.0,2.0,44.55,2,211
1193,Whitefield,1635.0,2.0,85.0,3,205
1194,EPIP Zone,4390.0,5.0,200.0,4,64
1195,others,1533.0,3.0,85.0,3,211
1196,Varthur Road,900.0,2.0,27.0,2,199
1197,Electronic City Phase II,1031.0,2.0,56.35,2,66
1198,Hennur,1259.0,2.0,57.0,2,84
1199,Sarjapur  Road,1428.0,2.0,66.0,3,177
1200,Begur Road,1160.0,2.0,40.59,2,36
1201,others,1475.0,3.0,70.0,3,211
1202,Rayasandra,1639.0,3.0,83.0,3,173
1203,Whitefield,1200.0,3.0,56.2,3,205
1204,others,1135.0,2.0,55.0,2,211
1205,Begur Road,1260.0,2.0,46.62,2,36
1206,Rachenahalli,1220.0,2.0,59.5,2,168
1207,Yelahanka,1300.0,2.0,65.0,2,207
1208,Cox Town,605.0,1.0,29.0,1,55
1209,Bhoganhalli,1444.0,2.0,75.97,2,39
1210,Amruthahalli,924.0,2.0,45.0,2,12
1211,Kaikondrahalli,1000.0,2.0,30.0,2,108
1212,Bisuvanahalli,845.0,2.0,29.0,2,42
1213,Kanakpura Road,700.0,2.0,35.0,2,115
1214,Kothanur,1187.0,2.0,58.0,2,133
1215,Kaggadasapura,1625.0,3.0,55.0,3,106
1216,Kaval Byrasandra,1200.0,2.0,49.5,2,121
1217,Budigere,1139.0,2.0,56.85,2,47
1218,Kanakpura Road,1660.0,3.0,75.0,3,115
1219,Somasundara Palya,1448.0,2.0,68.0,2,184
1220,Kaggadasapura,1105.0,2.0,38.65,2,106
1221,Thanisandra,1185.0,2.0,43.0,2,191
1222,Electronic City Phase II,1320.0,2.0,38.12,3,66
1223,Hulimavu,1058.0,2.0,48.0,2,94
1224,Bellandur,1220.0,2.0,60.0,2,37
1225,Kengeri,1160.0,2.0,40.6,3,123
1226,Bannerghatta Road,1550.0,3.0,78.0,3,32
1227,Haralur Road,2475.0,4.0,130.0,3,79
1228,Kaggadasapura,1063.0,2.0,42.0,2,106
1229,Kanakpura Road,1077.0,2.0,37.7,2,115
1230,others,1200.0,3.0,44.0,2,211
1231,Hosakerehalli,1500.0,3.0,70.0,4,91
1232,Kanakapura,1290.0,2.0,45.15,3,114
1233,Begur Road,1600.0,3.0,58.14,3,36
1234,Nagavara,1545.0,2.0,58.0,3,156
1235,others,1350.0,2.0,67.5,2,211
1236,Gottigere,950.0,2.0,38.0,2,72
1237,Thanisandra,1050.0,2.0,45.0,2,191
1238,Banashankari Stage V,1305.0,2.0,49.0,3,27
1239,Thanisandra,3500.0,5.0,160.0,6,191
1240,Begur Road,1634.0,3.0,83.33,3,36
1241,others,1240.0,2.0,43.79,2,211
1242,Bommasandra Industrial Area,1020.0,2.0,39.0,2,45
1243,Raja Rajeshwari Nagar,1168.0,2.0,61.0,2,169
1244,CV Raman Nagar,1028.0,2.0,49.0,2,48
1245,others,1175.0,2.0,48.27,2,211
1246,Marathahalli,1350.0,3.0,72.0,3,146
1247,KR Puram,714.0,1.0,28.0,1,103
1248,Whitefield,1215.0,2.0,65.0,2,205
1249,Malleshpalya,1405.0,2.0,77.0,3,145
1250,KR Puram,1142.0,2.0,51.0,2,103
1251,others,4000.0,4.0,170.0,4,211
1252,Whitefield,1870.0,3.0,90.0,3,205
1253,Subramanyapura,1313.0,2.0,73.0,2,187
1254,Kannamangala,1235.0,2.0,43.63,2,116
1255,Sarjapur  Road,1380.0,2.0,52.0,3,177
1256,others,1465.0,2.0,74.72,3,211
1257,others,351.0,1.0,16.0,1,211
1258,Uttarahalli,1279.0,2.0,48.0,2,197
1259,Uttarahalli,1845.0,2.0,68.27,3,197
1260,others,1360.0,2.0,59.27,3,211
1261,Whitefield,1260.0,2.0,49.5,2,205
1262,Dasanapura,965.0,2.0,42.5,2,56
1263,Hoodi,1350.0,2.0,48.0,3,86
1264,Bhoganhalli,1447.0,2.0,75.97,2,39
1265,Kudlu,1027.0,2.0,43.0,2,134
1266,Gottigere,1153.0,2.0,48.5,2,72
1267,Whitefield,4271.0,5.0,145.5,4,205
1268,Malleshpalya,1065.0,2.0,50.0,2,145
1269,Mallasandra,1340.0,2.0,61.0,2,144
1270,others,600.0,1.0,32.0,1,211
1271,Begur Road,1410.0,2.0,44.42,3,36
1272,Varthur,1055.0,2.0,45.35,2,198
1273,Kammasandra,990.0,2.0,31.5,2,113
1274,7th Phase JP Nagar,1035.0,2.0,39.33,2,5
1275,Tumkur Road,998.0,1.0,30.09,1,195
1276,Sonnenahalli,1120.0,2.0,43.0,2,186
1277,Subramanyapura,1130.0,2.0,45.19,3,187
1278,others,1107.0,2.0,33.0,2,211
1279,others,1520.0,3.0,80.0,3,211
1280,others,1050.0,2.0,38.0,2,211
1281,Marathahalli,1535.0,3.0,72.5,3,146
1282,Kanakpura Road,1050.0,2.0,35.0,2,115
1283,7th Phase JP Nagar,1250.0,3.0,65.0,3,5
1284,Kalena Agrahara,1187.0,2.0,52.0,2,109
1285,9th Phase JP Nagar,1164.0,2.0,56.0,2,7
1286,Electronic City Phase II,1395.0,2.0,62.78,3,66
1287,Arekere,2072.0,3.0,108.0,3,18
1288,Kanakpura Road,1450.0,3.0,60.91,3,115
1289,Bannerghatta Road,1550.0,3.0,82.0,3,32
1290,Bisuvanahalli,1075.0,2.0,47.0,3,42
1291,others,1215.0,3.0,42.2,3,211
1292,Kaggadasapura,1470.0,2.0,75.0,3,106
1293,Kanakpura Road,1050.0,2.0,36.75,2,115
1294,Raja Rajeshwari Nagar,1306.0,2.0,55.91,2,169
1295,others,1445.0,3.0,64.0,3,211
1296,Sarjapur  Road,1220.0,3.0,58.0,3,177
1297,Sarjapur,3190.0,3.0,160.0,4,176
1298,Ramagondanahalli,1215.0,2.0,51.26,2,171
1299,Budigere,1920.0,2.0,88.0,3,47
1300,Dodda Nekkundi,1390.0,2.0,60.0,2,59
1301,Bannerghatta Road,1550.0,2.0,75.0,3,32
1302,KR Puram,1115.0,2.0,33.45,2,103
1303,Anekal,1035.0,2.0,38.3,2,15
1304,Singasandra,1306.0,2.0,58.0,3,183
1305,Kengeri,750.0,2.0,22.0,2,123
1306,Kaggadasapura,1615.0,3.0,58.0,3,106
1307,Marathahalli,1071.0,2.0,52.25,2,146
1308,Sarjapur,1215.0,2.0,40.0,2,176
1309,Munnekollal,1200.0,2.0,49.5,2,149
1310,Kodigehaali,1200.0,2.0,60.0,2,127
1311,Kaval Byrasandra,945.0,2.0,50.0,2,121
1312,Hormavu,1175.0,2.0,52.0,2,89
1313,others,955.0,1.0,34.01,2,211
1314,Uttarahalli,1425.0,2.0,64.0,3,197
1315,Whitefield,1165.0,2.0,40.5,2,205
1316,Kaggadasapura,1050.0,2.0,48.0,2,106
1317,others,1370.0,2.0,75.0,3,211
1318,Electronic City,1374.0,2.0,72.0,3,65
1319,Chikka Tirupathi,3297.0,3.0,135.0,3,51
1320,others,1187.0,2.0,45.0,2,211
1321,Bommasandra Industrial Area,1400.0,2.0,40.44,3,45
1322,Doddaballapur,3000.0,2.0,120.0,3,60
1323,Thanisandra,693.0,1.0,34.3,1,191
1324,KR Puram,1021.0,2.0,48.0,2,103
1325,Horamavu Agara,1756.0,3.0,92.0,3,87
1326,Varthur,1280.0,2.0,65.0,2,198
1327,Marathahalli,1215.0,2.0,58.86,2,146
1328,Munnekollal,950.0,2.0,46.5,2,149
1329,Kengeri,1082.0,2.0,49.0,3,123
1330,Devanahalli,1080.0,2.0,53.35,2,58
1331,Arekere,1100.0,2.0,55.0,2,18
1332,Raja Rajeshwari Nagar,1608.0,3.0,67.98,3,169
1333,Begur Road,1160.0,2.0,36.0,2,36
1334,Kengeri,1155.0,2.0,40.6,2,123
1335,Rayasandra,1065.0,2.0,44.95,2,173
1336,Neeladri Nagar,674.0,1.0,21.0,1,158
1337,others,1100.0,2.0,38.45,2,211
1338,Nagarbhavi,1055.0,2.0,55.0,2,154
1339,Raja Rajeshwari Nagar,1530.0,3.0,51.87,3,169
1340,Raja Rajeshwari Nagar,1575.0,2.0,78.0,3,169
1341,KR Puram,2186.5,3.0,69.315,3,103
1342,Hennur,1255.0,2.0,53.5,2,84
1343,JP Nagar,2002.5,2.0,93.865,2,97
1344,others,1360.0,3.0,55.0,3,211
1345,8th Phase JP Nagar,1455.0,3.0,73.31,3,6
1346,KR Puram,1035.0,2.0,40.5,2,103
1347,Rachenahalli,1050.0,2.0,52.5,2,168
1348,Pai Layout,1050.0,2.0,40.0,2,164
1349,Vittasandra,1246.0,2.0,67.4,2,204
1350,Hennur,1285.0,2.0,60.0,2,84
1351,Margondanahalli,1200.0,2.0,65.0,3,147
1352,Sompura,1025.0,2.0,37.0,3,185
1353,Balagere,1012.0,2.0,54.59,2,23
1354,others,1020.0,2.0,40.0,2,211
1355,Rachenahalli,1550.0,3.0,73.5,3,168
1356,Chikka Tirupathi,3500.0,5.0,150.0,4,51
1357,Kanakapura,1130.0,2.0,45.2,2,114
1358,others,1051.0,2.0,33.0,2,211
1359,Marathahalli,1102.0,2.0,53.67,2,146
1360,Abbigere,880.0,2.0,35.0,2,9
1361,Budigere,1991.0,4.0,100.0,3,47
1362,TC Palaya,1100.0,3.0,50.0,3,189
1363,5th Phase JP Nagar,1450.0,2.0,58.0,2,3
1364,Singasandra,3366.0,4.0,120.0,4,183
1365,Sahakara Nagar,1150.0,2.0,54.0,2,174
1366,Bommanahalli,1090.0,3.0,44.0,2,43
1367,Kaggadasapura,1132.0,2.0,42.0,2,106
1368,Kaggadasapura,1180.0,2.0,65.0,2,106
1369,Jigani,918.0,2.0,45.0,2,101
1370,Margondanahalli,1200.0,1.0,53.0,2,147
1371,Ardendale,1728.0,3.0,95.0,3,17
1372,6th Phase JP Nagar,1280.0,2.0,56.0,2,4
1373,others,1455.0,2.0,56.0,3,211
1374,Rachenahalli,1204.0,2.0,38.5,2,168
1375,Old Madras Road,1225.0,2.0,53.55,2,162
1376,others,1200.0,2.0,55.0,2,211
1377,9th Phase JP Nagar,1005.0,2.0,42.0,2,7
1378,Ramamurthy Nagar,1200.0,2.0,42.0,2,172
1379,Kasavanhalli,1555.0,3.0,82.5,3,118
1380,KR Puram,1550.0,2.0,71.0,2,103
1381,Chikkalasandra,1070.0,2.0,50.0,2,53
1382,Jalahalli East,1020.0,2.0,42.48,2,100
1383,others,1300.0,2.0,49.0,3,211
1384,Uttarahalli,1155.0,2.0,40.42,2,197
1385,Sarjapur  Road,1300.0,2.0,70.0,3,177
1386,Electronic City,1100.0,2.0,45.0,2,65
1387,Doddathoguru,1030.0,2.0,42.0,2,62
1388,Vittasandra,2105.0,2.0,70.2,2,204
1389,others,1400.0,2.0,67.0,2,211
1390,others,1200.0,2.0,53.0,2,211
1391,Whitefield,1102.0,2.0,48.0,2,205
1392,others,1535.0,3.0,55.0,3,211
1393,Begur Road,1500.0,2.0,70.0,3,36
1394,Mysore Road,1200.0,2.0,65.0,2,151
1395,others,1100.0,2.0,61.0,2,211
1396,Garudachar Palya,1295.0,2.0,59.5,3,70
1397,Neeladri Nagar,527.0,1.0,26.0,1,158
1398,others,1260.0,1.0,41.0,1,211
1399,Whitefield,2321.0,4.0,128.0,3,205
1400,Sarjapur  Road,1390.0,2.0,62.0,2,177
1401,Sarjapur  Road,1725.0,3.0,90.0,3,177
1402,Hennur Road,1186.0,2.0,63.0,3,85
1403,Ambalipura,1250.0,2.0,66.25,2,11
1404,Electronics City Phase 1,1015.0,2.0,56.0,2,67
1405,Gottigere,812.0,1.0,26.0,1,72
1406,others,1360.0,2.0,65.0,3,211
1407,Raja Rajeshwari Nagar,1200.0,2.0,35.0,2,169
1408,BTM 2nd Stage,1274.0,2.0,70.0,2,20
1409,Raja Rajeshwari Nagar,1151.0,2.0,39.02,2,169
1410,Banashankari Stage V,1035.0,2.0,35.77,2,27
1411,others,965.0,2.0,45.0,2,211
1412,Kothannur,1070.0,2.0,42.79,2,132
1413,Raja Rajeshwari Nagar,1570.0,2.0,65.0,3,169
1414,others,780.0,2.0,25.0,2,211
1415,Kereguddadahalli,904.0,2.0,30.0,2,125
1416,others,1121.0,2.0,43.72,2,211
1417,7th Phase JP Nagar,1385.0,2.0,58.17,3,5
1418,Sahakara Nagar,1270.0,2.0,69.85,2,174
1419,Kanakpura Road,1450.0,3.0,56.0,3,115
1420,Mahadevpura,730.0,1.0,35.0,1,143
1421,Raja Rajeshwari Nagar,1580.0,3.0,53.56,3,169
1422,Thanisandra,1111.0,2.0,50.0,2,191
1423,Varthur,977.0,2.0,36.0,2,198
1424,others,674.0,1.0,19.9,2,211
1425,Sarjapur,2540.0,4.0,115.0,4,176
1426,Abbigere,795.0,2.0,32.54,2,9
1427,Kanakpura Road,700.0,1.0,35.0,2,115
1428,others,1306.0,2.0,58.0,3,211
1429,Hoskote,1225.0,3.0,40.0,3,92
1430,Thanisandra,1652.5,2.0,58.68,2,191
1431,Kaggalipura,700.0,1.0,36.0,1,107
1432,others,1160.0,2.0,46.39,2,211
1433,LB Shastri Nagar,1043.0,2.0,55.0,2,138
1434,Hebbal,1040.0,2.0,46.0,2,81
1435,Tindlu,1357.0,2.0,65.0,3,194
1436,others,1225.0,2.0,47.0,2,211
1437,Yelachenahalli,1130.0,2.0,40.0,2,206
1438,Doddathoguru,1549.0,3.0,65.0,3,62
1439,Dodda Nekkundi,1080.0,2.0,50.0,2,59
1440,Abbigere,1005.0,2.0,39.59,2,9
1441,Anandapura,1475.0,2.0,50.0,4,13
1442,Kudlu Gate,2489.0,2.0,99.745,3,135
1443,others,1110.0,2.0,51.0,2,211
1444,others,1300.0,2.0,54.0,2,211
1445,Banashankari,2600.0,4.0,135.0,3,24
1446,Sanjay nagar,630.0,1.0,35.0,2,175
1447,Hosa Road,1243.0,2.0,48.5,2,90
1448,others,960.0,2.0,32.0,2,211
1449,Whitefield,735.0,2.0,35.0,2,205
1450,Banaswadi,1365.0,2.0,73.0,2,29
1451,Somasundara Palya,1570.0,3.0,68.0,3,184
1452,Bisuvanahalli,850.0,1.0,32.0,2,42
1453,Uttarahalli,1050.0,2.0,42.0,2,197
1454,Electronic City Phase II,1160.0,2.0,33.5,2,66
1455,Kudlu,1092.0,2.0,44.0,2,134
1456,Yelahanka,1455.0,3.0,61.5,3,207
1457,others,799.0,2.0,38.0,2,211
1458,Whitefield,1896.0,3.0,75.0,3,205
1459,Ardendale,1100.0,2.0,48.0,2,17
1460,others,1355.0,3.0,61.0,3,211
1461,Kasavanhalli,1493.0,3.0,82.0,3,118
1462,8th Phase JP Nagar,1098.0,2.0,43.91,2,6
1463,Varthur,1091.0,2.0,32.0,2,198
1464,Yelahanka,1180.0,2.0,42.0,2,207
1465,Sarjapur  Road,2199.0,2.0,98.94,3,177
1466,Electronic City,755.0,1.0,34.0,2,65
1467,others,1194.0,2.0,46.0,2,211
1468,Vijayanagar,1352.0,2.0,68.0,2,201
1469,Kaval Byrasandra,1060.0,2.0,45.0,2,121
1470,Kanakpura Road,1419.59,2.0,59.0,3,115
1471,Raja Rajeshwari Nagar,1196.0,2.0,51.15,2,169
1472,Electronic City,1220.0,2.0,35.24,3,65
1473,Electronics City Phase 1,1595.0,3.0,75.0,3,67
1474,Hebbal,1100.0,2.0,47.0,2,81
1475,ISRO Layout,1180.0,2.0,52.0,2,95
1476,Electronic City,4000.0,5.0,150.0,4,65
1477,Akshaya Nagar,1662.0,3.0,85.0,3,10
1478,Raja Rajeshwari Nagar,1419.0,2.0,48.0,2,169
1479,Whitefield,1410.0,3.0,43.71,3,205
1480,Raja Rajeshwari Nagar,1560.0,2.0,62.4,3,169
1481,Thanisandra,1634.0,3.0,78.0,3,191
1482,Whitefield,1150.0,2.0,44.0,3,205
1483,others,1100.0,2.0,53.0,2,211
1484,Yelahanka,1616.0,3.0,65.0,3,207
1485,Babusapalaya,1675.0,3.0,75.0,3,22
1486,others,2000.0,4.0,103.0,5,211
1487,Hulimavu,1248.0,2.0,69.0,2,94
1488,others,1147.0,2.0,54.0,2,211
1489,Sultan Palaya,1100.0,2.0,40.0,2,188
1490,Kanakpura Road,525.0,1.0,25.0,1,115
1491,Kaggadasapura,1100.0,2.0,58.0,2,106
1492,Seegehalli,1118.0,2.0,37.5,2,180
1493,Kanakapura,1476.0,3.0,75.0,3,114
1494,others,2100.0,3.0,75.0,3,211
1495,others,1215.0,2.0,46.5,3,211
1496,Hennur Road,1350.0,2.0,49.0,2,85
1497,NGR Layout,1105.0,2.0,49.73,2,152
1498,Kasavanhalli,1200.0,2.0,50.0,2,118
1499,Ramagondanahalli,1251.0,2.0,47.4,2,171
1500,Pai Layout,1400.0,2.0,67.0,3,164
1501,NRI Layout,2500.0,5.0,130.0,5,153
1502,Jigani,933.0,2.0,43.0,2,101
1503,Yelahanka,915.0,2.0,48.0,2,207
1504,Panathur,1370.0,2.0,61.5,3,165
1505,Malleshpalya,1210.0,2.0,55.0,2,145
1506,others,1065.0,2.0,50.0,2,211
1507,Ramamurthy Nagar,1515.0,3.0,65.0,3,172
1508,Uttarahalli,1300.0,2.0,55.0,3,197
1509,others,1205.0,2.0,42.18,2,211
1510,Bommanahalli,1250.0,2.0,42.5,3,43
1511,others,1199.0,2.0,50.0,2,211
1512,others,1070.0,2.0,33.0,2,211
1513,Nagarbhavi,1350.0,2.0,54.6,3,154
1514,Chandapura,630.0,1.0,27.0,2,49
1515,Sarjapur  Road,1084.0,2.0,55.0,2,177
1516,Hennur Road,1186.0,2.0,56.0,3,85
1517,Kengeri,1255.0,2.0,50.0,2,123
1518,Hosa Road,1541.0,3.0,69.84,3,90
1519,Raja Rajeshwari Nagar,1295.0,2.0,70.0,2,169
1520,7th Phase JP Nagar,1370.0,2.0,54.79,3,5
1521,Electronic City,1100.0,2.0,40.0,2,65
1522,JP Nagar,1200.0,2.0,62.0,2,97
1523,Gunjur,2000.0,3.0,95.0,4,75
1524,Sarjapur  Road,1220.0,3.0,62.0,3,177
1525,Dasanapura,1286.0,3.0,61.44,3,56
1526,Begur Road,1160.0,2.0,42.0,2,36
1527,others,1326.0,2.0,62.17,2,211
1528,Begur Road,1240.0,2.0,39.06,2,36
1529,Kaggadasapura,1325.0,2.0,50.0,2,106
1530,Sonnenahalli,1100.0,2.0,44.0,2,186
1531,Gollarapalya Hosahalli,1605.0,3.0,50.0,3,71
1532,Somasundara Palya,1260.0,2.0,60.0,2,184
1533,Hoodi,1553.0,3.0,83.09,3,86
1534,Whitefield,1280.0,2.0,52.0,2,205
1535,Hebbal,1550.0,2.0,75.0,3,81
1536,Murugeshpalya,1550.0,3.0,74.0,3,150
1537,Electronics City Phase 1,1515.0,2.0,80.91,3,67
1538,Electronic City,1652.0,3.0,70.0,3,65
1539,Seegehalli,1200.0,2.0,62.0,3,180
1540,Hebbal,1053.0,2.0,48.0,2,81
1541,Kadubeesanahalli,1665.0,3.0,70.0,3,104
1542,Bommasandra,1447.0,3.0,80.0,3,44
1543,Malleshpalya,1900.0,3.0,60.0,3,145
1544,Hormavu,1351.0,2.0,53.0,1,89
1545,Gunjur,1140.0,2.0,49.11,2,75
1546,Uttarahalli,1250.0,2.0,55.0,3,197
1547,Kanakapura,1290.0,3.0,45.15,3,114
1548,Garudachar Palya,1320.0,2.0,60.6,3,70
1549,Akshaya Nagar,1662.0,3.0,85.5,3,10
1550,Anandapura,1576.0,3.0,59.1,3,13
1551,Sompura,1020.0,2.0,41.0,2,185
1552,Raja Rajeshwari Nagar,648.0,1.0,31.75,1,169
1553,Neeladri Nagar,1167.0,2.0,38.0,3,158
1554,Hoodi,1220.0,2.0,50.89,2,86
1555,Vittasandra,1259.0,2.0,67.4,2,204
1556,Gottigere,2000.0,4.0,82.0,4,72
1557,8th Phase JP Nagar,1800.0,3.0,80.0,3,6
1558,others,1234.0,2.0,61.0,2,211
1559,Mysore Road,1340.0,2.0,64.31,3,151
1560,Banashankari,1170.0,2.0,46.79,2,24
1561,Electronics City Phase 1,995.0,2.0,46.0,2,67
1562,Electronic City,1025.0,2.0,54.5,2,65
1563,Rachenahalli,2721.0,3.0,113.0,3,168
1564,Thanisandra,2000.0,3.0,99.0,3,191
1565,Mallasandra,1325.0,2.0,70.0,2,144
1566,Kadugodi,1314.0,2.0,68.2,2,105
1567,Yelahanka,1026.0,2.0,41.0,2,207
1568,others,1200.0,3.0,66.0,3,211
1569,others,2220.0,4.0,65.0,3,211
1570,KR Puram,1727.5,2.0,51.22,2,103
1571,Sarjapur  Road,1888.0,4.0,95.0,3,177
1572,Begur,1559.0,3.0,63.0,3,35
1573,others,1069.0,2.0,55.0,2,211
1574,Sarjapur  Road,1300.0,3.0,60.0,3,177
1575,Channasandra,1115.0,2.0,33.45,2,50
1576,Marathahalli,1305.0,2.0,69.0,3,146
1577,Kanakpura Road,1252.0,2.0,56.32,2,115
1578,Whitefield,1200.0,2.0,46.13,2,205
1579,Subramanyapura,1313.0,2.0,66.5,2,187
1580,others,1160.0,2.0,41.75,2,211
1581,others,900.0,2.0,45.0,2,211
1582,Yelahanka New Town,1700.0,3.0,90.0,3,208
1583,Uttarahalli,1700.0,3.0,88.0,3,197
1584,Dasanapura,1500.0,3.0,65.0,2,56
1585,others,1175.0,2.0,48.0,2,211
1586,Akshaya Nagar,1280.0,2.0,60.0,2,10
1587,others,1200.0,2.0,50.0,2,211
1588,Electronic City,1070.0,2.0,46.0,2,65
1589,TC Palaya,1200.0,2.0,66.0,2,189
1590,9th Phase JP Nagar,1127.0,2.0,50.0,2,7
1591,others,600.0,2.0,23.0,2,211
1592,others,1364.0,2.0,70.0,2,211
1593,others,1146.0,2.0,39.5,2,211
1594,Magadi Road,1345.0,2.0,55.0,2,142
1595,others,1110.0,2.0,41.0,2,211
1596,Kengeri,750.0,2.0,36.0,2,123
1597,others,1156.0,2.0,49.5,2,211
1598,others,1247.0,2.0,59.8,2,211
1599,Kaggalipura,950.0,2.0,48.0,2,107
1600,others,900.0,1.0,30.0,1,211
1601,Thanisandra,1050.0,2.0,46.0,2,191
1602,Laggere,2800.0,5.0,125.0,5,139
1603,others,1500.0,2.0,65.0,3,211
1604,others,1400.0,2.0,65.0,2,211
1605,8th Phase JP Nagar,2700.0,4.0,130.0,4,6
1606,Bommasandra,920.0,2.0,37.46,2,44
1607,Haralur Road,1464.0,2.0,56.0,2,79
1608,Electronics City Phase 1,1555.0,2.0,82.0,3,67
1609,Whitefield,1150.0,2.0,55.0,2,205
1610,Kadubeesanahalli,970.0,2.0,35.0,2,104
1611,Banashankari,2500.0,4.0,95.0,4,24
1612,others,1166.0,2.0,53.0,2,211
1613,Electronic City,1350.0,3.0,58.0,3,65
1614,others,900.0,2.0,46.0,2,211
1615,others,1190.0,3.0,55.0,3,211
1616,Kodichikkanahalli,1495.0,2.0,75.0,3,126
1617,Banashankari Stage III,1350.0,2.0,68.0,3,26
1618,Raja Rajeshwari Nagar,1100.0,2.0,55.0,2,169
1619,Kaikondrahalli,1300.0,2.0,61.0,2,108
1620,Hoodi,1105.0,2.0,46.37,2,86
1621,Yelahanka,1517.0,3.0,76.3,3,207
1622,Jalahalli,1615.0,3.0,89.75,3,99
1623,others,1500.0,3.0,65.0,3,211
1624,Mysore Road,1082.0,3.0,50.5,3,151
1625,Marathahalli,1365.0,2.0,73.0,2,146
1626,Kodigehalli,1086.0,2.0,33.66,2,128
1627,Hennur,1100.0,2.0,60.0,2,84
1628,Electronic City Phase II,1065.0,2.0,30.75,2,66
1629,others,820.0,2.0,24.0,2,211
1630,Nagarbhavi,1223.0,2.0,60.0,2,154
1631,Ananth Nagar,1200.0,2.0,65.0,3,14
1632,Bharathi Nagar,1351.0,2.0,70.0,2,38
1633,Thanisandra,1588.0,3.0,75.55,3,191
1634,Panathur,1370.0,2.0,75.0,3,165
1635,Whitefield,1500.0,3.0,71.8,3,205
1636,Hoodi,1247.0,2.0,53.0,2,86
1637,others,1033.0,2.0,32.0,3,211
1638,others,1460.0,2.0,73.0,3,211
1639,Garudachar Palya,1150.0,2.0,52.8,2,70
1640,Babusapalaya,1141.0,2.0,46.0,2,22
1641,Kanakapura,1295.0,2.0,64.0,2,114
1642,Whitefield,937.0,1.0,32.79,1,205
1643,Rayasandra,1708.0,3.0,75.0,3,173
1644,Hosa Road,615.0,1.0,28.29,1,90
1645,Kanakpura Road,2245.0,2.0,66.4,3,115
1646,Jalahalli,1083.0,2.0,32.49,2,99
1647,Gottigere,1460.0,2.0,65.0,3,72
1648,Babusapalaya,1084.0,2.0,58.0,2,22
1649,Bommasandra,1035.0,2.0,41.43,2,44
1650,Hosur Road,460.0,1.0,21.0,1,93
1651,Whitefield,1285.0,2.0,55.9,2,205
1652,others,1070.0,2.0,35.0,2,211
1653,AECS Layout,1199.0,2.0,65.0,2,8
1654,Marathahalli,3800.0,4.0,205.0,4,146
1655,Subramanyapura,1050.0,2.0,41.0,2,187
1656,Nagarbhavi,956.0,2.0,49.0,2,154
1657,Sarjapur,1000.0,2.0,30.0,2,176
1658,Electronic City Phase II,1219.0,2.0,61.25,2,66
1659,Uttarahalli,1200.0,3.0,50.0,3,197
1660,others,920.0,2.0,37.0,2,211
1661,Yeshwanthpur,2559.0,3.0,141.0,3,210
1662,others,525.0,1.0,26.0,1,211
1663,Bannerghatta Road,1427.0,2.0,48.51,3,32
1664,Kothannur,1270.0,3.0,45.0,3,132
1665,Ramamurthy Nagar,1355.0,2.0,40.0,3,172
1666,Nehru Nagar,2363.0,5.0,120.0,4,159
1667,others,885.0,2.0,40.0,2,211
1668,Yelahanka,600.0,2.0,27.0,2,207
1669,Kanakpura Road,1339.0,2.0,62.0,2,115
1670,Whitefield,1130.0,2.0,36.0,2,205
1671,Uttarahalli,1085.0,2.0,43.0,2,197
1672,Yeshwanthpur,1430.0,3.0,72.0,3,210
1673,others,1490.0,2.0,59.6,3,211
1674,Bellandur,1286.0,2.0,57.0,2,37
1675,Haralur Road,1000.0,2.0,44.0,2,79
1676,Whitefield,1215.0,2.0,39.0,2,205
1677,Yeshwanthpur,673.0,1.0,36.85,1,210
1678,Anandapura,1200.0,2.0,58.0,2,13
1679,Devanahalli,2400.0,5.0,100.0,5,58
1680,Kanakpura Road,1470.0,2.0,61.74,2,115
1681,Marathahalli,1785.0,3.0,94.0,3,146
1682,Kothanur,1460.0,3.0,71.0,3,133
1683,Kasturi Nagar,1500.0,2.0,80.0,3,119
1684,Chikkalasandra,1230.0,2.0,48.0,2,53
1685,Yelahanka New Town,650.0,1.0,20.0,1,208
1686,Thanisandra,1220.0,2.0,43.92,2,191
1687,Mallasandra,1665.0,3.0,86.91,3,144
1688,Budigere,664.0,1.0,35.0,1,47
1689,Sonnenahalli,1011.0,2.0,50.53,2,186
1690,others,2400.0,6.0,130.0,6,211
1691,others,1680.0,3.0,85.0,3,211
1692,Yeshwanthpur,1069.0,2.0,49.475,2,210
1693,Uttarahalli,1350.0,2.0,53.0,3,197
1694,others,875.0,2.0,33.0,2,211
1695,Hennur,1231.0,2.0,48.0,2,84
1696,Munnekollal,1560.0,3.0,75.0,3,149
1697,others,1464.0,2.0,56.0,2,211
1698,Devanahalli,1080.0,2.0,44.0,2,58
1699,Electronic City,1020.0,2.0,29.46,2,65
1700,Begur Road,1500.0,2.0,55.0,3,36
1701,Kodichikkanahalli,3250.0,4.0,180.0,4,126
1702,Channasandra,1030.0,2.0,34.5,2,50
1703,Thanisandra,1380.0,1.0,62.1,1,191
1704,others,1200.0,2.0,50.0,2,211
